Group,Metric,Budget,Actual,% to Goal,Match
Ticket Revenue,FSE,"5,700","5,668",0.994385965,FIR0304
Ticket Revenue,Group,"7,960","4,393",0.551884422,FIR0304
Ticket Revenue,Single,"1,888","4,103",2.173199153,FIR0304
Ticket Revenue,Total Paid,15548,14164,0.910985336,FIR0304
Ticket Revenue,Comp,3000,"3,169",1.056333333,FIR0304
Ticket Revenue,Total Distributed,18548,17333,0.934494285,FIR0304
Ticket Revenue,Drop Count,"13,993","12,515",0.894362976,FIR0304
Ticket Revenue,Show Rate,0.75,0.72,0.957055587,FIR0304
Ticket Revenue,ATP,30.69,28.29,0.92193824,FIR0304
Ticket Revenue,Gross Ticket Revenue,"477,138",400734.95,0.839872217,FIR0304
Ticket Revenue,Amusement Taxes,-51122,-42936,0.839872217,FIR0304
Ticket Revenue,Park District Fee,-27986,-25030,0.894362976,FIR0304
Ticket Revenue,MLS Share of Revenue,-39803,-33277,0.836040844,FIR0304
Ticket Revenue,Net Ticket Revenue,358227,299492,0.836040844,FIR0304
Premium,Units Sold,282,167,0.592198582,FIR0304
Premium,Average Per Unit,276,259,0.941578969,FIR0304
Premium,Revenue Generated,"77,706",43329,0.55760173,FIR0304
Premium,Less Projected Expenses,-45847,-25564.11,0.55760173,FIR0304
Premium,Net Premium Revenue,31859,17765,0.55760173,FIR0304
Gross Per Cap,Merchandise Revenue,66467,62355,0.938138242,FIR0304
Gross Per Cap,Concessions Revenue,275102,254894,0.926542329,FIR0304
Gross Per Cap,Parking Revenue,151824,126136,0.830801971,FIR0304
Gross Per Cap,Total Gross Per Cap Revenue,493393,443385,0.898643796,FIR0304
Gross Per Cap,Merchandise Per Cap,4.74993211,4.982421095,1.048945749,FIR0304
Gross Per Cap,Concessions Per Cap,19.65971901,20.3670795,1.035980194,FIR0304
Gross Per Cap,Parking Per Cap,10.84984492,10.07876308,0.928931534,FIR0304
Gross Per Cap,Gross Per Cap,35.25949604,35.42826368,1.004786445,FIR0304
Net Per Cap,Merchandise Revenue,25789,23466,0.909900342,FIR0304
Net Per Cap,Concessions Revenue,64709,56314,0.87027123,FIR0304
Net Per Cap,Parking Revenue,67571,55444,0.820538843,FIR0304
Net Per Cap,Total Net Per Cap Revenue,158068,135224,0.855477337,FIR0304
Net Per Cap,Merchandise Per Cap,1.842973659,1.874990811,1.01737255,FIR0304
Net Per Cap,Concessions Per Cap,4.624289298,4.499723311,0.973062674,FIR0304
Net Per Cap,Parking Per Cap,4.828811699,4.430223152,0.917456184,FIR0304
Net Per Cap,Net Per Cap,11.29607466,10.80493727,0.956521412,FIR0304
Total,Total Net Matchday Revenue,548154,452481,0.825462387,FIR0304
Ticket Revenue,FSE,"4,700","4,217",0.897234043,FIR0318
Ticket Revenue,Group,"1,147",373,0.325196164,FIR0318
Ticket Revenue,Single,"1,145",773,0.67510917,FIR0318
Ticket Revenue,Total Paid,6992,5363,0.767019451,FIR0318
Ticket Revenue,Comp,3000,"1,407",0.469,FIR0318
Ticket Revenue,Total Distributed,9992,6770,0.677542034,FIR0318
Ticket Revenue,Drop Count,"6,293","3,477",0.552536232,FIR0318
Ticket Revenue,Show Rate,0.63,0.51,0.815501038,FIR0318
Ticket Revenue,ATP,33.35,32.47,0.973660955,FIR0318
Ticket Revenue,Gross Ticket Revenue,"233,162",174129.32,0.746816891,FIR0318
Ticket Revenue,Amusement Taxes,-24982,-18657,0.746816891,FIR0318
Ticket Revenue,Park District Fee,-12586,-6954,0.552536232,FIR0318
Ticket Revenue,MLS Share of Revenue,-19559,-14852,0.759317935,FIR0318
Ticket Revenue,Net Ticket Revenue,176035,133667,0.759317935,FIR0318
Premium,Units Sold,282,132,0.468085106,FIR0318
Premium,Average Per Unit,276,232,0.842245129,FIR0318
Premium,Revenue Generated,"77,706",30635,0.394242401,FIR0318
Premium,Less Projected Expenses,-45847,-18074.65,0.394242401,FIR0318
Premium,Net Premium Revenue,31859,12560,0.394242401,FIR0318
Gross Per Cap,Merchandise Revenue,29892,25691,0.859467913,FIR0318
Gross Per Cap,Concessions Revenue,123720,87797,0.709640562,FIR0318
Gross Per Cap,Parking Revenue,72621,67163,0.924839875,FIR0318
Gross Per Cap,Total Gross Per Cap Revenue,226233,180651,0.798516222,FIR0318
Gross Per Cap,Merchandise Per Cap,4.750150966,7.388840955,1.555496027,FIR0318
Gross Per Cap,Concessions Per Cap,19.66062484,25.25079091,1.284333083,FIR0318
Gross Per Cap,Parking Per Cap,11.54036677,19.31636468,1.67380856,FIR0318
Gross Per Cap,Gross Per Cap,35.95114258,51.95599655,1.445183458,FIR0318
Net Per Cap,Merchandise Revenue,10966,10703,0.976009869,FIR0318
Net Per Cap,Concessions Revenue,29451,19148,0.650172964,FIR0318
Net Per Cap,Parking Revenue,31065,28064,0.903385352,FIR0318
Net Per Cap,Total Net Per Cap Revenue,71483,57916,0.810202316,FIR0318
Net Per Cap,Merchandise Per Cap,1.742676279,3.078294507,1.766417862,FIR0318
Net Per Cap,Concessions Per Cap,4.680148741,5.507161346,1.176706479,FIR0318
Net Per Cap,Parking Per Cap,4.936652613,8.07132528,1.634979391,FIR0318
Net Per Cap,Net Per Cap,11.35947763,16.65678113,1.466333371,FIR0318
Total,Total Net Matchday Revenue,279378,204143,0.73070525,FIR0318
Ticket Revenue,FSE,"4,700","4,331",0.921489362,FIR0401
Ticket Revenue,Group,"1,291",859,0.665375678,FIR0401
Ticket Revenue,Single,"1,095","1,051",0.959817352,FIR0401
Ticket Revenue,Total Paid,7086,6241,0.880750776,FIR0401
Ticket Revenue,Comp,3000,"1,382",0.460666667,FIR0401
Ticket Revenue,Total Distributed,10086,7623,0.755800119,FIR0401
Ticket Revenue,Drop Count,"6,377","4,940",0.774610343,FIR0401
Ticket Revenue,Show Rate,0.63,0.65,1.024887829,FIR0401
Ticket Revenue,ATP,33.09,32.14,0.971241019,FIR0401
Ticket Revenue,Gross Ticket Revenue,"234,487",200585.17,0.855421281,FIR0401
Ticket Revenue,Amusement Taxes,-25124,-21491,0.855421281,FIR0401
Ticket Revenue,Park District Fee,-12755,-9880,0.774610343,FIR0401
Ticket Revenue,MLS Share of Revenue,-19661,-16921,0.860663816,FIR0401
Ticket Revenue,Net Ticket Revenue,176948,152293,0.860663816,FIR0401
Premium,Units Sold,282,121,0.429078014,FIR0401
Premium,Average Per Unit,276,257,0.93356906,FIR0401
Premium,Revenue Generated,"77,706",31127,0.400573958,FIR0401
Premium,Less Projected Expenses,-45847,-18364.93,0.400573958,FIR0401
Premium,Net Premium Revenue,31859,12762,0.400573958,FIR0401
Gross Per Cap,Merchandise Revenue,30291,32181,1.062403539,FIR0401
Gross Per Cap,Concessions Revenue,161024,111305,0.691231102,FIR0401
Gross Per Cap,Parking Revenue,73591,90555,1.230529777,FIR0401
Gross Per Cap,Total Gross Per Cap Revenue,264906,234041,0.883489738,FIR0401
Gross Per Cap,Merchandise Per Cap,4.749702073,6.51437247,1.37153286,FIR0401
Gross Per Cap,Concessions Per Cap,25.24920714,22.53137652,0.892359764,FIR0401
Gross Per Cap,Parking Per Cap,11.53927619,18.33105263,1.588579069,FIR0401
Gross Per Cap,Gross Per Cap,41.53818541,47.37680162,1.140560213,FIR0401
Net Per Cap,Merchandise Revenue,12213,13557,1.110030992,FIR0401
Net Per Cap,Concessions Revenue,29844,23960,0.802845161,FIR0401
Net Per Cap,Parking Revenue,31548,39663,1.257218941,FIR0401
Net Per Cap,Total Net Per Cap Revenue,73606,77180,1.048564738,FIR0401
Net Per Cap,Merchandise Per Cap,1.915070798,2.744331984,1.433018553,FIR0401
Net Per Cap,Concessions Per Cap,4.679706463,4.850283401,1.03645035,FIR0401
Net Per Cap,Parking Per Cap,4.946860608,8.028923077,1.623034024,FIR0401
Net Per Cap,Net Per Cap,11.54163787,15.62353846,1.35366736,FIR0401
Total,Total Net Matchday Revenue,282413,242235,0.857733189,FIR0401
Ticket Revenue,FSE,"4,700","4,542",0.966382979,FIR0408
Ticket Revenue,Group,"2,223","1,242",0.558704453,FIR0408
Ticket Revenue,Single,"1,145","1,496",1.306550218,FIR0408
Ticket Revenue,Total Paid,8068,7280,0.902330193,FIR0408
Ticket Revenue,Comp,3000,"2,736",0.912,FIR0408
Ticket Revenue,Total Distributed,11068,10016,0.904951211,FIR0408
Ticket Revenue,Drop Count,"7,261","7,826",1.077783287,FIR0408
Ticket Revenue,Show Rate,0.66,0.78,1.190984966,FIR0408
Ticket Revenue,ATP,32.48,32.29,0.994164972,FIR0408
Ticket Revenue,Gross Ticket Revenue,"262,020",235048.99,0.897065071,FIR0408
Ticket Revenue,Amusement Taxes,-28074,-25184,0.897065071,FIR0408
Ticket Revenue,Park District Fee,-14522,-15652,1.077783287,FIR0408
Ticket Revenue,MLS Share of Revenue,-21942,-19421,0.885104384,FIR0408
Ticket Revenue,Net Ticket Revenue,197482,174792,0.885104384,FIR0408
Premium,Units Sold,282,124,0.439716312,FIR0408
Premium,Average Per Unit,276,245,0.888535198,FIR0408
Premium,Revenue Generated,"77,706",30360,0.390703421,FIR0408
Premium,Less Projected Expenses,-45847,-17912.4,0.390703421,FIR0408
Premium,Net Premium Revenue,31859,12448,0.390703421,FIR0408
Gross Per Cap,Merchandise Revenue,34490,49415,1.432744511,FIR0408
Gross Per Cap,Concessions Revenue,183346,166813,0.909826266,FIR0408
Gross Per Cap,Parking Revenue,82412,87801,1.065382555,FIR0408
Gross Per Cap,Total Gross Per Cap Revenue,300248,304029,1.012591544,FIR0408
Gross Per Cap,Merchandise Per Cap,4.749869168,6.314209047,1.329343783,FIR0408
Gross Per Cap,Concessions Per Cap,25.25009541,21.31523128,0.844164386,FIR0408
Gross Per Cap,Parking Per Cap,11.34968738,11.21910043,0.988494225,FIR0408
Gross Per Cap,Gross Per Cap,41.34965196,38.84854076,0.939513126,FIR0408
Net Per Cap,Merchandise Revenue,14068,19741,1.403201924,FIR0408
Net Per Cap,Concessions Revenue,33981,36401,1.071212908,FIR0408
Net Per Cap,Parking Revenue,35941,38031,1.058140879,FIR0408
Net Per Cap,Total Net Per Cap Revenue,83991,94173,1.121226676,FIR0408
Net Per Cap,Merchandise Per Cap,1.93747102,2.52245799,1.301933275,FIR0408
Net Per Cap,Concessions Per Cap,4.679871096,4.651341682,0.993903803,FIR0408
Net Per Cap,Parking Per Cap,4.949781069,4.859572195,0.981775179,FIR0408
Net Per Cap,Net Per Cap,11.56712318,12.03337187,1.040308093,FIR0408
Total,Total Net Matchday Revenue,313332,281413,0.898128403,FIR0408
Ticket Revenue,FSE,"5,700","5,560",0.975438596,FIR0415
Ticket Revenue,Group,"2,223","1,204",0.541610436,FIR0415
Ticket Revenue,Single,"1,145","1,495",1.305676856,FIR0415
Ticket Revenue,Total Paid,9068,8259,0.910785179,FIR0415
Ticket Revenue,Comp,3000,"2,449",0.816333333,FIR0415
Ticket Revenue,Total Distributed,12068,10708,0.88730527,FIR0415
Ticket Revenue,Drop Count,"8,161","8,202",1.004999265,FIR0415
Ticket Revenue,Show Rate,0.68,0.77,1.132642055,FIR0415
Ticket Revenue,ATP,31.48,30.66,0.974140681,FIR0415
Ticket Revenue,Gross Ticket Revenue,"285,421",253234.9,0.887232895,FIR0415
Ticket Revenue,Amusement Taxes,-30581,-27132,0.887232895,FIR0415
Ticket Revenue,Park District Fee,-16322,-16404,1.004999265,FIR0415
Ticket Revenue,MLS Share of Revenue,-23852,-20970,0.879173832,FIR0415
Ticket Revenue,Net Ticket Revenue,214666,188729,0.879173832,FIR0415
Premium,Units Sold,282,143,0.507092199,FIR0415
Premium,Average Per Unit,276,255,0.926324776,FIR0415
Premium,Revenue Generated,"77,706",36501,0.469732067,FIR0415
Premium,Less Projected Expenses,-45847,-21535.59,0.469732067,FIR0415
Premium,Net Premium Revenue,31859,14965,0.469732067,FIR0415
Gross Per Cap,Merchandise Revenue,38765,41472,1.069837933,FIR0415
Gross Per Cap,Concessions Revenue,206072,193467,0.938833404,FIR0415
Gross Per Cap,Parking Revenue,91403,83715,0.915886971,FIR0415
Gross Per Cap,Total Gross Per Cap Revenue,336240,318654,0.947699046,FIR0415
Gross Per Cap,Merchandise Per Cap,4.749883596,5.056327725,1.064516135,FIR0415
Gross Per Cap,Concessions Per Cap,25.25017211,23.58778347,0.934163275,FIR0415
Gross Per Cap,Parking Per Cap,11.19972553,10.20665691,0.911330986,FIR0415
Gross Per Cap,Gross Per Cap,41.19978124,38.85076811,0.942984815,FIR0415
Net Per Cap,Merchandise Revenue,14961,16373,1.094368787,FIR0415
Net Per Cap,Concessions Revenue,38193,42956,1.124705054,FIR0415
Net Per Cap,Parking Revenue,40419,35878,0.887661328,FIR0415
Net Per Cap,Total Net Per Cap Revenue,93573,95207,1.017463976,FIR0415
Net Per Cap,Merchandise Per Cap,1.833160161,1.99617386,1.088924963,FIR0415
Net Per Cap,Concessions Per Cap,4.679885311,5.237307974,1.119110325,FIR0415
Net Per Cap,Parking Per Cap,4.952555212,4.374323336,0.883245749,FIR0415
Net Per Cap,Net Per Cap,11.46560068,11.60780517,1.012402707,FIR0415
Total,Total Net Matchday Revenue,340099,298901,0.878866975,FIR0415
Ticket Revenue,FSE,0,0,0,FR0426US
Ticket Revenue,Group,750,"1,037",1.382666667,FR0426US
Ticket Revenue,Single,750,"1,478",1.970666667,FR0426US
Ticket Revenue,Total Paid,1500,2515,1.676666667,FR0426US
Ticket Revenue,Comp,500,685,1.37,FR0426US
Ticket Revenue,Total Distributed,2000,3200,1.6,FR0426US
Ticket Revenue,Drop Count,"1,600","2,651",1.656875,FR0426US
Ticket Revenue,Show Rate,0.80,0.83,1.035546875,FR0426US
Ticket Revenue,ATP,16.80,17.81,1.059831487,FR0426US
Ticket Revenue,Gross Ticket Revenue,"25,200",44780,1.776984127,FR0426US
Ticket Revenue,Amusement Taxes,-2291,-4071,1.776984127,FR0426US
Ticket Revenue,Park District Fee,0,0,0,FR0426US
Ticket Revenue,MLS Share of Revenue,0,0,0,FR0426US
Ticket Revenue,Net Ticket Revenue,22909,40709,1.776984127,FR0426US
Premium,Units Sold,0,0,0,FR0426US
Premium,Average Per Unit,0,0,0,FR0426US
Premium,Revenue Generated,0,0,0,FR0426US
Premium,Less Projected Expenses,0,0,0,FR0426US
Premium,Net Premium Revenue,0,0,0,FR0426US
Gross Per Cap,Merchandise Revenue,5088,2055,0.403891509,FR0426US
Gross Per Cap,Concessions Revenue,0,0,0,FR0426US
Gross Per Cap,Parking Revenue,11312,24120,2.132248939,FR0426US
Gross Per Cap,Total Gross Per Cap Revenue,16400,26175,1.596036585,FR0426US
Gross Per Cap,Merchandise Per Cap,3.18,0.775179178,0.243767037,FR0426US
Gross Per Cap,Concessions Per Cap,0,0,0,FR0426US
Gross Per Cap,Parking Per Cap,7.07,9.098453414,1.28690996,FR0426US
Gross Per Cap,Gross Per Cap,10.25,9.873632591,0.963281228,FR0426US
Net Per Cap,Merchandise Revenue,3632,1722,0.474118943,FR0426US
Net Per Cap,Concessions Revenue,0,0,0,FR0426US
Net Per Cap,Parking Revenue,7776,13361,1.718235597,FR0426US
Net Per Cap,Total Net Per Cap Revenue,11408,15083,1.322142356,FR0426US
Net Per Cap,Merchandise Per Cap,2.27,0.649566201,0.286152512,FR0426US
Net Per Cap,Concessions Per Cap,0,0,0,FR0426US
Net Per Cap,Parking Per Cap,4.86,5.039984911,1.037033932,FR0426US
Net Per Cap,Net Per Cap,7.13,5.689551113,0.797973508,FR0426US
Total,Total Net Matchday Revenue,34317,55792,1.625781482,FR0426US
Ticket Revenue,FSE,"6,700","6,498",0.969850746,FIR0429
Ticket Revenue,Group,"3,227","1,159",0.359157112,FIR0429
Ticket Revenue,Single,"1,244","1,181",0.949356913,FIR0429
Ticket Revenue,Total Paid,11171,8838,0.791155671,FIR0429
Ticket Revenue,Comp,3000,"1,456",0.485333333,FIR0429
Ticket Revenue,Total Distributed,14171,10294,0.726413097,FIR0429
Ticket Revenue,Drop Count,"10,054","6,260",0.622643949,FIR0429
Ticket Revenue,Show Rate,0.71,0.61,0.857148572,FIR0429
Ticket Revenue,ATP,30.51,29.04,0.951969579,FIR0429
Ticket Revenue,Gross Ticket Revenue,"340,797",256673.35,0.753156131,FIR0429
Ticket Revenue,Amusement Taxes,-36514,-27501,0.753156131,FIR0429
Ticket Revenue,Park District Fee,-20108,-12520,0.622643949,FIR0429
Ticket Revenue,MLS Share of Revenue,-28418,-21665,0.762390971,FIR0429
Ticket Revenue,Net Ticket Revenue,255758,194987,0.762390971,FIR0429
Premium,Units Sold,282,187,0.663120567,FIR0429
Premium,Average Per Unit,276,280,1.017263342,FIR0429
Premium,Revenue Generated,"77,706",52418,0.674568244,FIR0429
Premium,Less Projected Expenses,-45847,-30926.62,0.674568244,FIR0429
Premium,Net Premium Revenue,31859,21491,0.674568244,FIR0429
Gross Per Cap,Merchandise Revenue,47757,40258,0.842990378,FIR0429
Gross Per Cap,Concessions Revenue,253871,151376,0.596270273,FIR0429
Gross Per Cap,Parking Revenue,114616,80722,0.704280744,FIR0429
Gross Per Cap,Total Gross Per Cap Revenue,416244,272356,0.654318436,FIR0429
Gross Per Cap,Merchandise Per Cap,4.750047245,6.431033546,1.353888333,FIR0429
Gross Per Cap,Concessions Per Cap,25.25104207,24.18146965,0.957642444,FIR0429
Gross Per Cap,Parking Per Cap,11.40011339,12.89481789,1.131113126,FIR0429
Gross Per Cap,Gross Per Cap,41.4012027,43.50732109,1.050870947,FIR0429
Net Per Cap,Merchandise Revenue,17199,12930,0.751802218,FIR0429
Net Per Cap,Concessions Revenue,47042,32515,0.691192311,FIR0429
Net Per Cap,Parking Revenue,49813,34585,0.694292218,FIR0429
Net Per Cap,Total Net Per Cap Revenue,114054,80030,0.701685813,FIR0429
Net Per Cap,Merchandise Per Cap,1.710641555,2.065488818,1.207435194,FIR0429
Net Per Cap,Concessions Per Cap,4.678999194,5.194121406,1.110092392,FIR0429
Net Per Cap,Parking Per Cap,4.954574354,5.524702236,1.115071011,FIR0429
Net Per Cap,Net Per Cap,11.3442151,12.78431246,1.126945526,FIR0429
Total,Total Net Matchday Revenue,401671,296509,0.738187999,FIR0429
Ticket Revenue,FSE,0,0,0,FR0509US
Ticket Revenue,Group,900,252,0.28,FR0509US
Ticket Revenue,Single,900,998,1.108888889,FR0509US
Ticket Revenue,Total Paid,1800,1250,0.694444444,FR0509US
Ticket Revenue,Comp,500,"2,468",4.936,FR0509US
Ticket Revenue,Total Distributed,2300,3718,1.616521739,FR0509US
Ticket Revenue,Drop Count,"1,840","2,379",1.292934783,FR0509US
Ticket Revenue,Show Rate,0.80,0.64,0.799825175,FR0509US
Ticket Revenue,ATP,18.00,21.80,1.211111111,FR0509US
Ticket Revenue,Gross Ticket Revenue,"32,400",27250,0.841049383,FR0509US
Ticket Revenue,Amusement Taxes,-2945,-2477,0.841049383,FR0509US
Ticket Revenue,Park District Fee,0,0,0,FR0509US
Ticket Revenue,MLS Share of Revenue,0,0,0,FR0509US
