,SEASON_YEAR,SEASON_TICKET_MEMBER,TICKET_COUNT,TICKET_SPEND,SUM_TICKET_COUNT,SUM_TICKET_SPEND,ATTEND_COUNT,RECEIVE_FORWARD_COUNT,FORWARD_COUNT,RETURN_COUNT,MERCH_PURCHASES,MERCH_SPEND,EMAIL_CLICKS,TICKET_EMAIL_CLICKS,CFYSC_REGISTRATIONS,SF_TASKS,SF_LISTEMAILS,SF_EVENTS,SF_EMAILS,SF_CALLS,SF_CADENCES,MLS_DAY_TENURE,ROOKIE,RENEWED_NEXT_YEAR
SEASON_YEAR,1.0,-0.007456493502320507,-0.16302760521687326,-0.013604198989737642,0.39887717241620085,0.05945190305603194,0.2075456809213077,0.08932765006061208,0.05274717730696521,0.06490767280942261,-0.022946913496776793,0.004700625565657089,0.21413268934811025,0.19190331785547937,0.052671117372299535,0.30343683819575007,0.48915598794716664,0.045924258089012765,0.2116919740402227,0.37987733214841557,0.04094015824774174,0.30214926402517867,-0.17150045061196395,-0.3116279285005357
SEASON_TICKET_MEMBER,-0.007456493502320507,1.0,0.45145256266138356,0.045390285682944086,0.29893133958922524,0.0458690814211396,0.5608081704328229,0.05088692075427533,0.13683839785216512,0.16666009702425633,0.13276517641540833,0.11809728315098522,0.19951437175794925,0.16231729674266782,0.01704396961384521,0.14313106173445184,0.29849878949099956,-0.03157835556556964,0.2639046889855066,0.10071185151059128,0.01044701859756797,0.30764772410337765,0.48502002247912995,0.542899519511073
TICKET_COUNT,-0.16302760521687326,0.45145256266138356,1.0,0.44983111209421417,0.23185476671578653,0.3710319427420596,0.35765177780372576,0.1032779101681824,0.4107314484021749,0.5320978750058826,0.13438649256430335,0.11691282465371529,0.07427783838067344,0.06771973483689114,0.0017359372555137565,0.06923504192925582,0.02045212050238503,0.008717634021952345,0.14156447521446425,0.007776649523065425,-0.010041053049298686,0.14040600400826067,0.259183569457739,0.5155144651466277
TICKET_SPEND,-0.013604198989737642,0.045390285682944086,0.44983111209421417,1.0,0.04938174514778047,0.1488052324000849,0.035020145624036124,0.002059208323760018,0.04212867592421307,0.6282393029378216,0.0011817098608017512,0.0025375537750403727,0.0008884311888240388,0.0018431730880324327,0.0007252192949178749,-0.00041599329514605704,-0.006046545948746455,0.001216012450696948,0.009832199958569968,-0.0058862817653574,-0.0008913959221440802,0.01566512845806007,0.011297360941244656,0.057418075514140764
SUM_TICKET_COUNT,0.39887717241620085,0.29893133958922524,0.23185476671578653,0.04938174514778047,1.0,0.42913754851258407,0.3594688009767136,0.14315569087378338,0.13851603487851066,0.24111512967585352,0.034755825481297214,0.050604030536605046,0.26555957974075933,0.21458791941993846,0.038444532720355896,0.165082945899025,0.5996382722104695,-0.0030065376268846697,0.12225819707076159,0.16100765741130085,0.028269908249781903,0.2124986415256867,-0.013861597502016581,-0.16960339838326427
SUM_TICKET_SPEND,0.05945190305603194,0.0458690814211396,0.3710319427420596,0.1488052324000849,0.42913754851258407,1.0,0.03823565456589618,0.01270684126159937,0.0212195222425089,0.4286540259088361,0.0009619150677996975,0.0037637158694475855,0.030256716152451298,0.02367694993466756,0.005645454707193977,0.017704347676606697,0.06586709794435545,0.004120683282069133,0.014277562773928429,0.015091745161139774,0.004866799356755219,0.036370312939353396,-0.007478776761607612,-0.025426133004427535
ATTEND_COUNT,0.2075456809213077,0.5608081704328229,0.35765177780372576,0.035020145624036124,0.3594688009767136,0.03823565456589618,1.0,0.22479077456696006,0.08408860210257793,0.12754134016988186,0.21440955539433731,0.20289846434815595,0.31582547087559787,0.2637771273550909,0.04411799754357965,0.22951177852525617,0.36408029844163875,-0.010308003684769453,0.30636677701530474,0.1751282661032132,0.011768092814513915,0.27222136615584186,0.1570260864391606,0.3270071416959816
RECEIVE_FORWARD_COUNT,0.08932765006061208,0.05088692075427533,0.1032779101681824,0.002059208323760018,0.14315569087378338,0.01270684126159937,0.22479077456696006,1.0,0.23554577629812837,0.03853941204716848,0.06767699227393414,0.07103584742570654,0.06129730021715484,0.06338282268220194,0.032553533864910424,0.06180694417018022,0.11956981437147327,0.03317248904604391,0.05913891421527446,0.04977073485353494,0.0001642975814243323,0.08081948971634685,-0.010522628403856121,0.015554913669675013
FORWARD_COUNT,0.05274717730696521,0.13683839785216512,0.4107314484021749,0.04212867592421307,0.13851603487851066,0.0212195222425089,0.08408860210257793,0.23554577629812837,1.0,0.2223627850726591,0.01610266195930023,0.025807756438165328,0.041848658214919565,0.03989227376178925,0.010824356390219276,0.03812028936699457,0.06387029456333512,0.019071625935590236,0.06699210747099399,0.023351203853125096,0.0035691754971255993,0.06793518911467052,0.03318723182052964,0.060093641250426294
RETURN_COUNT,0.06490767280942261,0.16666009702425633,0.5320978750058826,0.6282393029378216,0.24111512967585352,0.4286540259088361,0.12754134016988186,0.03853941204716848,0.2223627850726591,1.0,0.024349197336900438,0.02455453571604841,0.06081867723125215,0.05577834210040071,0.002398780952246914,0.07455077554343148,0.06422897313192108,0.003042761487208691,0.10980818866073366,0.05240505755824693,-0.0038023261495600154,0.07538120090871012,0.047522716427496774,0.06837434664366064
MERCH_PURCHASES,-0.022946913496776793,0.13276517641540833,0.13438649256430335,0.0011817098608017512,0.034755825481297214,0.0009619150677996975,0.21440955539433731,0.06767699227393414,0.01610266195930023,0.024349197336900438,1.0,0.8682104677714193,0.13137341078815473,0.10819584520125639,0.005650940859173628,0.062008226806800515,0.03672449543810674,0.013346391323610426,0.08803389353873403,0.043920144976893845,-0.002300753304562627,0.059316221525126736,0.06242021543205411,0.1530908422583274
MERCH_SPEND,0.004700625565657089,0.11809728315098522,0.11691282465371529,0.0025375537750403727,0.050604030536605046,0.0037637158694475855,0.20289846434815595,0.07103584742570654,0.025807756438165328,0.02455453571604841,0.8682104677714193,1.0,0.1582748043801695,0.12178722602718302,0.004271026855482873,0.04945906968517556,0.05512807053106965,0.018522798610685173,0.08770175809778334,0.04388472393609537,-0.0031623982941058515,0.05211385619164554,0.04764813289059378,0.12349288295337187
EMAIL_CLICKS,0.21413268934811025,0.19951437175794925,0.07427783838067344,0.0008884311888240388,0.26555957974075933,0.030256716152451298,0.31582547087559787,0.06129730021715484,0.041848658214919565,0.06081867723125215,0.13137341078815473,0.1582748043801695,1.0,0.9106209338408571,0.062273601330290425,0.1600777421503182,0.32955103964887145,0.0036300411473930787,0.27249619231496647,0.17584686685940365,0.00609021039277676,0.1827692720212021,-0.025571307420002912,0.028693982106865572
TICKET_EMAIL_CLICKS,0.19190331785547937,0.16231729674266782,0.06771973483689114,0.0018431730880324327,0.21458791941993846,0.02367694993466756,0.2637771273550909,0.06338282268220194,0.03989227376178925,0.05577834210040071,0.10819584520125639,0.12178722602718302,0.9106209338408571,1.0,0.06097909969016687,0.15397262177490487,0.26238734610524683,0.008797219573942867,0.25380688449212163,0.17180049373096612,0.006770981233575417,0.16255926120728426,-0.01968101143098564,0.0373146973438805
CFYSC_REGISTRATIONS,0.052671117372299535,0.01704396961384521,0.0017359372555137565,0.0007252192949178749,0.038444532720355896,0.005645454707193977,0.04411799754357965,0.032553533864910424,0.010824356390219276,0.002398780952246914,0.005650940859173628,0.004271026855482873,0.062273601330290425,0.06097909969016687,1.0,0.040448609762861444,0.09410603514712064,0.027142216328746263,0.045198704354967895,0.032104783808023694,0.0021842238787613513,0.03599501794804962,-0.01192630159026984,-0.005412494102043426
SF_TASKS,0.30343683819575007,0.14313106173445184,0.06923504192925582,-0.00041599329514605704,0.165082945899025,0.017704347676606697,0.22951177852525617,0.06180694417018022,0.03812028936699457,0.07455077554343148,0.062008226806800515,0.04945906968517556,0.1600777421503182,0.15397262177490487,0.040448609762861444,1.0,0.2621665809485201,0.04167467730191784,0.2999299169709483,0.5141427328145092,0.0214393481699505,0.16208915727991416,0.012590134448990759,0.0009362264968463727
SF_LISTEMAILS,0.48915598794716664,0.29849878949099956,0.02045212050238503,-0.006046545948746455,0.5996382722104695,0.06586709794435545,0.36408029844163875,0.11956981437147327,0.06387029456333512,0.06422897313192108,0.03672449543810674,0.05512807053106965,0.32955103964887145,0.26238734610524683,0.09410603514712064,0.2621665809485201,1.0,0.027420530407712394,0.25278215161509027,0.29614541728185767,0.06067256576191685,0.22833118122475726,-0.04302068159815499,-0.1724226935904289
SF_EVENTS,0.045924258089012765,-0.03157835556556964,0.008717634021952345,0.001216012450696948,-0.0030065376268846697,0.004120683282069133,-0.010308003684769453,0.03317248904604391,0.019071625935590236,0.003042761487208691,0.013346391323610426,0.018522798610685173,0.0036300411473930787,0.008797219573942867,0.027142216328746263,0.04167467730191784,0.027420530407712394,1.0,0.11294048520001021,0.03408755280722178,0.12836607338091596,-0.015135829854543023,-0.004951349993206464,-0.008202616413596127
SF_EMAILS,0.2116919740402227,0.2639046889855066,0.14156447521446425,0.009832199958569968,0.12225819707076159,0.014277562773928429,0.30636677701530474,0.05913891421527446,0.06699210747099399,0.10980818866073366,0.08803389353873403,0.08770175809778334,0.27249619231496647,0.25380688449212163,0.045198704354967895,0.2999299169709483,0.25278215161509027,0.11294048520001021,1.0,0.3046830391754684,0.03553652943903792,0.15428980620044266,0.07171580002307333,0.14808174674960792
SF_CALLS,0.37987733214841557,0.10071185151059128,0.007776649523065425,-0.0058862817653574,0.16100765741130085,0.015091745161139774,0.1751282661032132,0.04977073485353494,0.023351203853125096,0.05240505755824693,0.043920144976893845,0.04388472393609537,0.17584686685940365,0.17180049373096612,0.032104783808023694,0.5141427328145092,0.29614541728185767,0.03408755280722178,0.3046830391754684,1.0,0.014609478044604659,0.2309804220685564,-0.02398605585548063,-0.039029184315392686
SF_CADENCES,0.04094015824774174,0.01044701859756797,-0.010041053049298686,-0.0008913959221440802,0.028269908249781903,0.004866799356755219,0.011768092814513915,0.0001642975814243323,0.0035691754971255993,-0.0038023261495600154,-0.002300753304562627,-0.0031623982941058515,0.00609021039277676,0.006770981233575417,0.0021842238787613513,0.0214393481699505,0.06067256576191685,0.12836607338091596,0.03553652943903792,0.014609478044604659,1.0,0.009614852333354764,-0.0058231841976620815,-0.01739385772928876
MLS_DAY_TENURE,0.30214926402517867,0.30764772410337765,0.14040600400826067,0.01566512845806007,0.2124986415256867,0.036370312939353396,0.27222136615584186,0.08081948971634685,0.06793518911467052,0.07538120090871012,0.059316221525126736,0.05211385619164554,0.1827692720212021,0.16255926120728426,0.03599501794804962,0.16208915727991416,0.22833118122475726,-0.015135829854543023,0.15428980620044266,0.2309804220685564,0.009614852333354764,1.0,-0.07893574491091827,0.13791296372255826
ROOKIE,-0.17150045061196395,0.48502002247912995,0.259183569457739,0.011297360941244656,-0.013861597502016581,-0.007478776761607612,0.1570260864391606,-0.010522628403856121,0.03318723182052964,0.047522716427496774,0.06242021543205411,0.04764813289059378,-0.025571307420002912,-0.01968101143098564,-0.01192630159026984,0.012590134448990759,-0.04302068159815499,-0.004951349993206464,0.07171580002307333,-0.02398605585548063,-0.0058231841976620815,-0.07893574491091827,1.0,0.27994745612705824
RENEWED_NEXT_YEAR,-0.3116279285005357,0.542899519511073,0.5155144651466277,0.057418075514140764,-0.16960339838326427,-0.025426133004427535,0.3270071416959816,0.015554913669675013,0.060093641250426294,0.06837434664366064,0.1530908422583274,0.12349288295337187,0.028693982106865572,0.0373146973438805,-0.005412494102043426,0.0009362264968463727,-0.1724226935904289,-0.008202616413596127,0.14808174674960792,-0.039029184315392686,-0.01739385772928876,0.13791296372255826,0.27994745612705824,1.0
